1296000 maximum_zohe	1271372400 296.753628
1296000 maximum_zohe	1272668400 299.895702
1296000 maximum_zohe	1273964400 296.189666
1296000 maximum_zohe	1275260400 306.58268
1296000 maximum_zohe	1276556400 306.904944
1296000 maximum_zohe	1277852400 308.99966
1296000 maximum_zohe	1279148400 311.41664
1296000 maximum_zohe	1280444400 313.43079
1296000 maximum_zohe	1281740400 308.516264
1296000 maximum_zohe	1283036400 311.658338
1296000 maximum_zohe	1284332400 306.663246
1296000 maximum_zohe	1285628400 296.995326
1296000 maximum_zohe	1286924400 298.606646
1296000 maximum_zohe	1288220400 299.251174
1296000 maximum_zohe	1289516400 297.478722
1296000 maximum_zohe	1290812400 294.336648
1296000 maximum_zohe	1292108400 286.84401
1296000 maximum_zohe	1293404400 291.194574
1296000 maximum_zohe	1294700400 280.318164
1296000 maximum_zohe	1295996400 295.867402
1296000 maximum_zohe	1297292400 299.251174
1296000 maximum_zohe	1298588400 295.384006
1296000 maximum_zohe	1299884400 296.1091
1296000 maximum_zohe	1301180400 301.184758
1296000 maximum_zohe	1302476400 311.81947
1296000 maximum_zohe	1303772400 305.293624
1296000 maximum_zohe	1305068400 304.004568
1296000 maximum_zohe	1306364400 308.355132
1296000 maximum_zohe	1307660400 306.904944
1296000 maximum_zohe	1308956400 308.919094
1296000 maximum_zohe	1310252400 309.483056
1296000 maximum_zohe	1311548400 309.80532
1296000 maximum_zohe	1312844400 308.99966
1296000 maximum_zohe	1314140400 314.558714
1296000 maximum_zohe	1315436400 313.994752
1296000 maximum_zohe	1316732400 310.449848
1296000 maximum_zohe	1318028400 2938.109938
1296000 maximum_zohe	1319324400 None
1296000 mean_zohe	1271372400 296.753628
1296000 mean_zohe	1272668400 296.436949101
1296000 mean_zohe	1273964400 286.311099168
1296000 mean_zohe	1275260400 293.159974235
1296000 mean_zohe	1276556400 296.634746277
1296000 mean_zohe	1277852400 295.118624766
1296000 mean_zohe	1279148400 301.273223011
1296000 mean_zohe	1280444400 299.922491438
1296000 mean_zohe	1281740400 296.385418565
1296000 mean_zohe	1283036400 297.473124901
1296000 mean_zohe	1284332400 None
1296000 mean_zohe	1285628400 296.995326
1296000 mean_zohe	1286924400 293.597954633
1296000 mean_zohe	1288220400 285.840665653
1296000 mean_zohe	1289516400 285.085988639
1296000 mean_zohe	1290812400 283.599946469
1296000 mean_zohe	1292108400 282.79682666
1296000 mean_zohe	1293404400 275.060608362
1296000 mean_zohe	1294700400 275.741267167
1296000 mean_zohe	1295996400 280.567134698
1296000 mean_zohe	1297292400 281.766882043
1296000 mean_zohe	1298588400 280.616978507
1296000 mean_zohe	1299884400 279.613696699
1296000 mean_zohe	1301180400 285.089304091
1296000 mean_zohe	1302476400 292.380809507
1296000 mean_zohe	1303772400 290.356851716
1296000 mean_zohe	1305068400 290.732300528
1296000 mean_zohe	1306364400 294.703474074
1296000 mean_zohe	1307660400 293.133644942
1296000 mean_zohe	1308956400 295.092311451
1296000 mean_zohe	1310252400 298.476289342
1296000 mean_zohe	1311548400 296.629999038
1296000 mean_zohe	1312844400 297.278346401
1296000 mean_zohe	1314140400 301.109153896
1296000 mean_zohe	1315436400 299.22794395
1296000 mean_zohe	1316732400 297.837014295
